,,,,,Cart link:,https://www.mouser.com/ProjectManager/ProjectDetail.aspx?AccessID=09d74b6d14,
FB1,1,BLA31AG601SN4D,1206,Ferrite Bead,,https://www.mouser.com/ProductDetail/Murata-Electronics/BLA31AG601SN4D?qs=2ahBf5rJw09FDcUVkQibEg%3D%3D,
LED1,1,151033RS03000,3mm,Red LED,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/151033RS03000?qs=LlUlMxKIyB1%252BAw6bWFN43w%3D%3D,
P1,1,,,Cart connector,,Salvaged (MGB/CGB),
P2,1,62684-502100AHLF,,LCD connector,Can be salvaged from CGB instead,https://www.mouser.com/ProductDetail/?qs=HL%252BYNjdyZ0vzwc9E0QYY2g%3D%3D,
P3,1,,,Link port,Can be salvaged from MGB/CGB instead,https://retrogamerepairshop.com/collections/gbp-accessories/products/link-cable-replacement-port-for-gbc-gbp-gbl?variant=41808976183468,
P4,1,,,DC Jack,Can be salvaged from MGB/CGB instead,https://www.aliexpress.us/item/2255800460672253.html?spm=a2g0o.order_list.order_list_main.23.c0c31802sdJmTz&gatewayAdapt=glo2usa&_randl_shipto=US,
P5,1,,,Headphone jack,,Salvaged (MGB/CGB),
Q2,1,MMBT3904,SOT23,NPN BJT,,https://www.mouser.com/ProductDetail/Nexperia/MMBT3904VL?qs=cnAQGvEIVkKbCwIpHJoHxQ%3D%3D,
"R1, R22, R23",3,1k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-071KL?qs=VU8sRB4EgwApHsk4rF%2F3zg%3D%3D,
"R2, R25",2,1.5M,0603,Resistor,Recommended at least 1% tolerance,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-071M5L?qs=VU8sRB4EgwAP38Z8qzPx9Q%3D%3D,
"R3, R9, R11, R31, R33",5,18k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-1018KL?qs=qpJ%252B%252B%252Bdg6p1T2VMMxU7GeA%3D%3D,
R4,1,200k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-10200KL?qs=x6vGwhDZZUbWpD4Ucl8tsQ%3D%3D,
R5,1,140k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07140KL?qs=IuGqVx9wL0ITcCE98xJS3Q%3D%3D,
"R8, R10, R36",3,100k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07100KL?qs=e1ok2LiJcmaihem8Va5%2Fsw%3D%3D,
R26,1,5.6k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-075K6L?qs=2cAdsCoAWRHvOVv%2Fp%252BkS0g%3D%3D,
R27,1,100,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07100RL?qs=NEN%2FsE%2FLsvPIwIWKCOS4%2FA%3D%3D,
"R30, R32",2,47k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-1047KL?qs=EiqXWrxQq600ZhhpLJs%252BtA%3D%3D,
"RA1A, RA1B",2,510,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07510RL?qs=gt6vzsuosg04lV7mPQHzdw%3D%3D,
RA3,1,270 (x4),1206,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/TC164-JR-07270RL?qs=8cPjvKtxWv4v1GF6%2FXOmfA%3D%3D,
SP,1,,,Speaker,Can be salvaged from MGB/CGB instead,https://retrogamerepairshop.com/collections/gbp-audio/products/funnyplaying-clear-game-boy-color-speaker?variant=37728953761964,
SW1,1,,,Power switch,,Salvaged (MGB/CGB),
SW2,1,COM-08184,,Navigation switch,,https://www.mouser.com/ProductDetail/SparkFun/COM-08184?qs=WyAARYrbSnYOIhcg6ARCiQ%3D%3D,
U1,1,GBC CPU,QFP-128,CPU,,Salvaged (GBC),
U2,1,LH52256CVTXIZ,TSOP-28,RAM,Can be salvaged from CGB instead,https://mou.sr/3f8G0Mi,
U3,1,LM4853,VSSOP-10,Audio amplifier,,https://www.mouser.com/ProductDetail/Texas-Instruments/LM4853MM-NOPB?qs=QbsRYf82W3F2psFI2da2Dw%3D%3D,
U4,1,NCP161ASN330T1G,SOT23-5,LDO,"Can also use TLV70233QDBVRQ1, probably",https://www.mouser.com/ProductDetail/863-NCP161ASN330T1G,
U5,1,,,Power Board,"Can also use other boards, see github for compatibility notes",https://github.com/MouseBiteLabs/Pocket-Mouse-Power-Board,
U6,1,TPS3840DL35,SOT23-5,Supervisory IC,,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS3840DL35DBVR?qs=7MVldsJ5UawbjRj7dP73rA%3D%3D,
U7,1,TL331,SOT23-5,Comparator,,https://www.mouser.com/ProductDetail/Texas-Instruments/TL331KDBVT?qs=XGzIaZb%2FFYIdafwjPOKAMg%3D%3D,
VR1,1,10k (x2),,Volume wheel,Can be salvaged from MGB/CGB instead,https://retrogamerepairshop.com/collections/gbp-accessories/products/game-boy-pocket-color-contrast-volume-wheel-replacement?variant=37893894308012,
X1,1,8.388608MHz,7.5X5-4-PAD,Crystal oscillator,,Salvaged (GBC),
